latitude; longitude;name
-33.50809201;-70.75735746;PI230
-33.46087151;-70.62133161;PD524
-33.47151741;-70.56521735;PD535
-33.45964869;-70.64901631;PA435
-33.52765551;-70.7670212;PI532
-33.52585219;-70.7670274;PI533
-33.53905709;-70.7834078;PI167
-33.53767929;-70.78141518;PI486
-33.53595699;-70.77892448;PI487
-33.53411981;-70.77626785;PI488
-33.54020524;-70.78506837;PI529
-33.47605225;-70.73396032;PI535
-33.475962;-70.73005706;PI536
-33.47703034;-70.73676256;PI534
-33.5253088;-70.76498658;PI378
-33.52541882;-70.75982877;PI379
-33.52596086;-70.75722673;PI380
-33.47257577;-70.72418555;PI538
-33.4737824;-70.72217908;PI539
-33.47430659;-70.7265244;PI537
-33.53231846;-70.77590538;PI489
-33.54175519;-70.78731021;PI528
-33.52966333;-70.7679526;PI531
-33.52656881;-70.75695966;PI565
-33.5131412;-70.75733899;PI1346
-33.5030427;-70.75733441;PI231
-33.49943605;-70.75731797;PI232
-33.49655073;-70.75730481;PI233
-33.52323892;-70.7572038;PI1345
-33.49346564;-70.75632316;PI234
-33.49135565;-70.75327085;PI235
-33.48702849;-70.74958241;PI236
-33.48546377;-70.74736044;PI387
-33.481647;-70.74492518;PI388
-33.47977793;-70.74324279;PI389
-33.51755914;-70.75728613;PI1344
-33.47261598;-70.72088798;PI1461
-33.53018218;-70.7725965;PI94
-33.52886121;-70.77041558;PI530
-33.46169371;-70.61456734;PD525
-33.46218028;-70.60770656;PD644
-33.46356581;-70.60292014;PD589
-33.46461705;-70.59848118;PD115
-33.46493974;-70.59269201;PD116
-33.46581228;-70.58588555;PD590
-33.46849276;-70.578252;PD592
-33.47023576;-70.57160002;PD645
-33.45739658;-70.66637334;PA289
-33.45691276;-70.6624414;PA290
-33.45824205;-70.65913657;PA433
-33.45999707;-70.65770066;PA434
-33.45848316;-70.6435981;PA436
-33.45794338;-70.64109785;PA658
-33.45699864;-70.63672249;PA438
-33.45657121;-70.63474319;PA439
-33.45564874;-70.63047212;PA440
-33.45524148;-70.62785573;PA666
-33.45733898;-70.62484447;PA442
-33.47294575;-70.55810201;PD571
-33.47405874;-70.55255605;PD572
-33.47510851;-70.54732388;PD573
-33.47559132;-70.54491704;PD1322
-33.47624201;-70.54167299;PD537
-33.47720738;-70.53685913;PD538
-33.47802571;-70.53277774;PD1323
-33.47857118;-70.53005676;PD539
-33.47945315;-70.52533258;PD540
-33.46883467;-70.71421256;PI39
-33.4678359;-70.71216754;PI40
-33.46629229;-70.70900715;PI41
-33.46537426;-70.7067945;PI42
-33.46447394;-70.70421183;PI43
-33.46341513;-70.7013645;PI44
-33.46213983;-70.69889024;PI540
-33.46077;-70.69623277;PI541
-33.45962343;-70.69343049;PI542
-33.46978801;-70.71616467;PI38
-33.45923709;-70.69116118;PI543
-33.459178;-70.68814987;PI544
-33.45883513;-70.67837097;PI546
-33.45909557;-70.68395554;PI545
