paradero;servicio;distancia
PB1;101I;234
PB2;101I;637
PB3;101I;991
PB4;101I;1385
PB5;101I;1744
PB6;101I;2105
PB7;101I;2519
PB8;101I;2679
PB9;101I;2966
PB10;101I;3232
PB11;101I;3461
PB1587;101I;3826
PB14;101I;4237
PB15;101I;4575
PB16;101I;4961
PB18;101I;5430
PB1469;101I;5721
PB1563;101I;6245
PB21;101I;6639
PB22;101I;7393
PB23;101I;7698
PB24;101I;8189
PB108;101I;8642
PJ1;101I;9361
PJ2;101I;9669
PJ3;101I;10107
PJ4;101I;10397
PJ5;101I;10813
PJ6;101I;10945
PJ7;101I;11261
PJ8;101I;11688
PJ9;101I;12052
PJ10;101I;12378
PJ11;101I;12833
PJ12;101I;13118
PJ13;101I;13426
PJ14;101I;13703
PJ15;101I;13919
PJ1582;101I;14135
PJ16;101I;14296
PJ17;101I;14593
PJ18;101I;15155
PI1;101I;15590
PI1489;101I;15994
PI3;101I;16364
PI4;101I;16584
PI5;101I;16913
PI6;101I;17164
PI7;101I;17377
PI8;101I;17670
PI9;101I;17943
PI10;101I;18220
PI11;101I;18528
PI12;101I;18840
PI13;101I;19297
PI14;101I;19513
PI1440;101I;19677
PI15;101I;19970
PI16;101I;20304
PI17;101I;20553
PI18;101I;20816
PI19;101I;21039
PI20;101I;21320
PI21;101I;21673
PI1321;101I;22035
PI1323;101I;22305
PI24;101I;22545
PI25;101I;22733
PI1643;101I;22990
PI1642;101I;23315
PI1641;101I;23510
PI1635;101I;23842
PI1640;101I;24081
PI695;101I;24548
PI1242;101I;24813
PI1243;101I;25059
PI883;101R;164
PI884;101R;453
PI1646;101R;726
PI1644;101R;936
PI1636;101R;1188
PI889;101R;1496
PI890;101R;1810
PI891;101R;2000
PI892;101R;2267
PI26;101R;2455
PI27;101R;2656
PI28;101R;2968
PI29;101R;3189
PI30;101R;3529
PI31;101R;3787
PI32;101R;4036
PI33;101R;4344
PI1441;101R;4549
PI34;101R;4759
PI1419;101R;5278
PI35;101R;5601
PI36;101R;5738
PI37;101R;6129
PI38;101R;6372
PI39;101R;6581
PI40;101R;6791
PI41;101R;7130
PI42;101R;7357
PI43;101R;7610
PI44;101R;7898
PI45;101R;8420
PI46;101R;8892
PI47;101R;9499
PI48;101R;9791
PJ19;101R;10124
PJ20;101R;10409
PJ21;101R;10684
PJ22;101R;11012
PJ23;101R;11269
PJ24;101R;11603
PJ25;101R;12046
PJ26;101R;12525
PJ27;101R;12835
PJ28;101R;13284
PJ29;101R;13697
PJ30;101R;14028
PJ31;101R;14447
PJ32;101R;14660
PB25;101R;15484
PB26;101R;15731
PB27;101R;16149
PB28;101R;16535
PB29;101R;17286
PB31;101R;17734
PB32;101R;18293
PB1586;101R;18731
PB35;101R;19038
PB36;101R;19412
PB37;101R;19779
PB38;101R;20192
PB40;101R;20588
PB41;101R;20893
PB42;101R;21098
PB43;101R;21390
PB44;101R;21578
PB45;101R;22071
PB46;101R;22385
PB47;101R;22835
PB48;101R;23265
PB49;101R;23524
PB50;101R;23897
PJ21;101cI;0
PJ180;101cI;280
PJ133;101cI;452
PJ1738;101cI;651
PJ978;101cI;871
PJ979;101cI;1049
PJ33;101cI;1327
PI1678;101cI;1832
PJ17;101cI;2115
PJ18;101cI;2675
PI1;101cI;3110
PI1489;101cI;3514
PI3;101cI;3884
PI4;101cI;4104
PI5;101cI;4433
PI6;101cI;4684
PI7;101cI;4897
PI8;101cI;5190
PI9;101cI;5463
PI10;101cI;5740
PI11;101cI;6048
PI12;101cI;6360
PI13;101cI;6817
PI14;101cI;7033
PI1440;101cI;7197
PI15;101cI;7490
PI16;101cI;7824
PI17;101cI;8073
PI18;101cI;8336
PI19;101cI;8559
PI20;101cI;8840
PI21;101cI;9193
PI1321;101cI;9555
PI1323;101cI;9826
PI24;101cI;10065
PI25;101cI;10253
PI1643;101cI;10511
PI1642;101cI;10836
PI1641;101cI;11030
PI1635;101cI;11362
PI1640;101cI;11601
PI695;101cI;12068
PI1242;101cI;12333
PI1243;101cI;12579
PI883;101cR;164
PI884;101cR;453
PI1646;101cR;726
PI1644;101cR;936
PI1636;101cR;1188
PI889;101cR;1496
PI890;101cR;1810
PI891;101cR;2000
PI892;101cR;2267
PI26;101cR;2455
PI27;101cR;2656
PI28;101cR;2968
PI29;101cR;3189
PI30;101cR;3529
PI31;101cR;3787
PI32;101cR;4036
PI33;101cR;4344
PI1441;101cR;4549
PI34;101cR;4762
PI1419;101cR;5278
PI35;101cR;5600
PI36;101cR;5738
PI37;101cR;6128
PI38;101cR;6372
PI39;101cR;6581
PI40;101cR;6791
PI41;101cR;7130
PI42;101cR;7357
PI43;101cR;7610
PI44;101cR;7898
PI45;101cR;8433
PI46;101cR;8905
PI47;101cR;9512
PI48;101cR;9804
PJ19;101cR;10136
PJ20;101cR;10421
PJ21;101cR;10696
PJ21;102I;0
PJ180;102I;280
PJ133;102I;452
PJ1738;102I;651
PJ978;102I;871
PJ979;102I;1049
PJ33;102I;1327
PI1678;102I;1832
PJ17;102I;2115
PJ18;102I;2675
PI1;102I;3110
PI2;102I;3489
PI49;102I;3835
PI50;102I;4286
PI51;102I;4782
PI53;102I;5769
PI1375;102I;6050
PI55;102I;6348
PI56;102I;6721
PH2;102I;7245
PH3;102I;7799
PH4;102I;8207
PH5;102I;8557
PH6;102I;8799
PH1454;102I;9087
PH7;102I;9370
PH8;102I;9619
PH9;102I;9989
PH10;102I;10238
PH11;102I;10475
PH12;102I;10892
PH13;102I;11165
PH14;102I;11473
PH15;102I;11879
PH16;102I;12037
PH17;102I;12404
PH18;102I;12579
PH19;102I;12998
PH1456;102I;13223
PH1491;102I;13540
PH21;102I;13729
PH22;102I;13992
PE1;102I;14524
PE2;102I;15016
PE3;102I;15660
PE4;102I;16054
PE5;102I;16382
PE1292;102I;16742
PE7;102I;17312
PE8;102I;17584
PE9;102I;17819
PE10;102I;18347
PE11;102I;18768
PE12;102I;19122
PE13;102I;19534
PE14;102I;19926
PE15;102I;20397
PE16;102I;20904
PE17;102I;21347
PE18;102I;21720
PE19;102I;21994
PE20;102I;22385
PE21;102I;22588
PE22;102I;22926
PF1;102I;23300
PF2;102I;23613
PF3;102I;24196
PF4;102I;24738
PF5;102R;102
PF829;102R;414
PF6;102R;630
PF7;102R;1202
PF8;102R;1749
PF9;102R;2051
PF10;102R;2369
PF11;102R;2645
PF12;102R;2937
PF13;102R;3340
PF15;102R;3949
PE23;102R;4424
PE24;102R;4879
PE25;102R;5390
PE26;102R;5951
PE27;102R;6252
PE28;102R;6633
PE29;102R;6949
PE1287;102R;7177
PE1383;102R;7363
PE30;102R;7541
PE31;102R;7793
PE32;102R;8120
PE33;102R;8546
PD1444;102R;9018
PD1;102R;9375
PD2;102R;9673
PD1161;102R;10136
PD4;102R;10469
PD5;102R;10988
PH45;102R;11370
PH23;102R;11613
PH24;102R;11986
PH1455;102R;12225
PH26;102R;12603
PH27;102R;12909
PH28;102R;13130
PH29;102R;13385
PH30;102R;13746
PH31;102R;14018
PH32;102R;14448
PH33;102R;14704
PH34;102R;14938
PH35;102R;15273
PH36;102R;15509
PH37;102R;15843
PH38;102R;16200
PH1453;102R;16448
PH39;102R;16716
PH40;102R;16970
PH41;102R;17301
PH42;102R;17658
PH43;102R;18221
PH44;102R;18648
PI58;102R;19564
PI59;102R;19711
PI60;102R;19888
PI61;102R;20703
PI62;102R;21126
PI63;102R;21639
PI64;102R;21972
PI45;102R;22312
PI46;102R;22784
PI47;102R;23392
PI48;102R;23684
PJ19;102R;24016
PJ20;102R;24301
PJ21;102R;24576
PC1;103I;143
PC2;103I;573
PC3;103I;1106
PC4;103I;1481
PC5;103I;1792
PC6;103I;2085
PC7;103I;2340
PC8;103I;2577
PC9;103I;2812
PC10;103I;3069
PC11;103I;3372
PD6;103I;3732
PD7;103I;3933
PD8;103I;4311
PD9;103I;4818
PD10;103I;5258
PD11;103I;5546
PD12;103I;5972
PD13;103I;6131
PD14;103I;6573
PD15;103I;6885
PD16;103I;7150
PD17;103I;7448
PD18;103I;7783
-;103I;13264
PD19;103I;8224
-;103I;13264
PD20;103I;8578
PD21;103I;8849
PD22;103I;9187
PD23;103I;9431
PD24;103I;9806
PD25;103I;10178
PD26;103I;10273
PD27;103I;10509
PD28;103I;10762
PD29;103I;10996
PD1161;103I;11130
PD4;103I;11463
PD5;103I;11982
PH45;103I;12363
PH23;103I;12607
PH46;103I;13031
PH47;103R;80
PH48;103R;324
PH49;103R;695
PH1443;103R;1229
PH1442;103R;1646
PH1491;103R;1914
PH21;103R;2102
PH22;103R;2366
PH672;103R;2607
PE1;103R;2898
PE2;103R;3390
PD30;103R;3779
PD31;103R;4265
PD32;103R;4419
PD33;103R;4687
PD34;103R;5116
PD35;103R;5431
PD36;103R;5696
PD37;103R;5973
PD38;103R;6355
PD39;103R;6756
PD40;103R;7118
PD41;103R;7436
PD42;103R;7677
PD43;103R;8002
PD44;103R;8425
PD45;103R;8610
PD46;103R;9132
PD47;103R;9318
PD48;103R;9782
PD49;103R;10211
PD50;103R;10650
PD51;103R;10839
PD52;103R;11211
PC12;103R;11471
PC13;103R;11791
PC14;103R;12077
PC15;103R;12254
PC16;103R;12538
PC17;103R;12791
PC18;103R;13106
PC19;103R;13333
PC20;103R;13703
PC21;103R;14101
PC37;104I;0
PC22;104I;483
PC23;104I;981
PC24;104I;1307
PC25;104I;1830
PC26;104I;2095
PC27;104I;2368
PC28;104I;2623
PD53;104I;3090
PD54;104I;3500
PD56;104I;3778
PD57;104I;3991
PD107;104I;4228
PD58;104I;4638
PD59;104I;4927
PD60;104I;5159
PD61;104I;5457
PD62;104I;5741
PD63;104I;5951
PD64;104I;6251
PD65;104I;6559
PD66;104I;6864
PD67;104I;7193
PD68;104I;7531
PD1449;104I;7795
PD69;104I;8071
PD70;104I;8419
PD71;104I;8810
PD72;104I;9127
PD73;104I;9393
PD1417;104I;9641
PD74;104I;10004
PD75;104I;10362
PE7;104I;11140
PE8;104I;11413
PE9;104I;11647
PE10;104I;12175
PE11;104I;12596
PE12;104I;12950
PE13;104I;13363
PE14;104I;13754
PE15;104I;14226
PE16;104I;14733
PE17;104I;15175
PE18;104I;15549
PE19;104I;15822
PE20;104I;16213
PE21;104I;16416
PE22;104I;16755
PF1;104I;17128
PF2;104I;17441
PF3;104I;18024
PF4;104I;18566
PC37;104IPM;-1
PC22;104IPM;-1
PC23;104IPM;-1
PC24;104IPM;-1
PC25;104IPM;-1
PC26;104IPM;-1
PC27;104IPM;-1
PC28;104IPM;-1
PD53;104IPM;-1
PD76;104IPM;-1
PD77;104IPM;-1
PD78;104IPM;-1
PD79;104IPM;-1
PD80;104IPM;-1
PD81;104IPM;-1
PD82;104IPM;-1
PD83;104IPM;-1
PD84;104IPM;-1
PD63;104IPM;-1
PD64;104IPM;-1
PD65;104IPM;-1
PD66;104IPM;-1
PD67;104IPM;-1
PD68;104IPM;-1
PD1449;104IPM;-1
PD69;104IPM;-1
PD70;104IPM;-1
PD71;104IPM;-1
PD72;104IPM;-1
PD73;104IPM;-1
PD1417;104IPM;-1
PD74;104IPM;-1
PD75;104IPM;-1
PE7;104IPM;-1
PE8;104IPM;-1
PE9;104IPM;-1
PE10;104IPM;-1
PE11;104IPM;-1
PE12;104IPM;-1
PE13;104IPM;-1
PE14;104IPM;-1
PE15;104IPM;-1
PE16;104IPM;-1
PE17;104IPM;-1
PE18;104IPM;-1
PE19;104IPM;-1
PE20;104IPM;-1
PE21;104IPM;-1
PE22;104IPM;-1
PF1;104IPM;-1
PF2;104IPM;-1
PF3;104IPM;-1
PF4;104IPM;-1
PF5;104R;102
PF829;104R;414
PF6;104R;630
PF7;104R;1202
PF8;104R;1749
PF9;104R;2051
PF10;104R;2369
PF11;104R;2645
PF12;104R;2937
PF13;104R;3340
PF15;104R;3949
PE23;104R;4424
PE24;104R;4879
PE25;104R;5390
PE26;104R;5951
PE27;104R;6252
PE28;104R;6633
PE29;104R;6948
PE1287;104R;7178
PE1383;104R;7363
PE30;104R;7542
PE31;104R;7793
PE32;104R;8120
PD85;104R;8794
PD147;104R;9219
PD87;104R;9644
PD148;104R;9821
PD149;104R;10129
PD88;104R;10385
PD89;104R;10788
PD1428;104R;11094
PD90;104R;11426
PD91;104R;11658
PD92;104R;12018
PD93;104R;12318
PD94;104R;12624
PD95;104R;12952
PD96;104R;13265
PD97;104R;13476
PD98;104R;13721
PD99;104R;13940
PD100;104R;14291
PD101;104R;14575
PD235;104R;14968
PD103;104R;15123
PD104;104R;15407
PD237;104R;15705
PD106;104R;16045
PC29;104R;16585
PC30;104R;16848
PC31;104R;17106
PC32;104R;17469
PC33;104R;17905
PC34;104R;18230
PC35;104R;18614
PC36;104R;18864
PC37;104R;19299
PB1520;105I;0
PB1517;105I;0
PB1518;105I;0
PB1521;105I;0
PB1060;105I;145
PB1661;105I;363
PB1660;105I;533
PB1061;105I;668
PB1644;105I;1055
PB787;105I;1192
PB53;105I;1616
PB54;105I;1869
PB55;105I;2040
PB56;105I;2262
PB57;105I;2530
PB1690;105I;2745
PB58;105I;3058
PB59;105I;3411
PB60;105I;3626
PB61;105I;3974
PB62;105I;4223
PB63;105I;4617
PB64;105I;4898
PB65;105I;5123
PB66;105I;5516
PB67;105I;5891
PB68;105I;6044
PB69;105I;6389
PB70;105I;6879
PB71;105I;7084
PB72;105I;7424
PB73;105I;7650
PB74;105I;7819
PB75;105I;8024
PJ36;105I;8913
PJ37;105I;9118
PJ38;105I;9516
PJ1774;105I;10044
PJ454;105I;10322
PJ455;105I;10644
PJ41;105I;10914
PJ42;105I;11183
PJ43;105I;11504
PJ44;105I;11800
PI65;105I;12071
PI66;105I;12284
PI67;105I;12517
PI68;105I;13042
PI69;105I;13470
PI70;105I;13738
PI71;105I;13982
PI72;105I;14428
PI73;105I;15874
PH581;105I;16413
PH52;105I;16687
PH53;105I;16970
PH54;105I;17310
PH55;105I;17758
PH56;105I;17986
PH57;105I;18313
PH58;105I;18645
PH59;105I;18951
PH60;105I;19095
PH61;105I;19294
PH62;105I;19494
PH63;105I;19752
PH64;105I;20005
PH65;105I;20157
PH66;105I;20429
PH67;105I;20764
PH356;105I;21034
PH68;105I;21301
PH801;105I;21456
PH795;105I;21643
PH1479;105I;21866
PG421;105I;22220
PG1635;105I;22682
PG1707;105I;22976
PG1704;105I;23284
PG1634;105R;183
PG1632;105R;902
PG1631;105R;1631
PH472;105R;1856
PH73;105R;2141
PH796;105R;2395
PH74;105R;2582
PH75;105R;2729
PH1513;105R;2962
PH76;105R;3307
PH77;105R;3615
PH78;105R;3867
PH79;105R;4025
PH80;105R;4280
PH81;105R;4391
PH82;105R;4538
PH83;105R;4738
PH84;105R;5087
PH85;105R;5279
PH86;105R;5678
PH87;105R;6045
PH88;105R;6387
PH89;105R;6808
PH90;105R;7029
PH91;105R;7418
PH92;105R;7771
PH93;105R;8181
PI75;105R;9560
PI76;105R;9961
PI77;105R;10356
PI78;105R;10580
PI79;105R;10946
PI80;105R;11518
PI81;105R;11689
PI82;105R;11926
PI83;105R;12209
PI84;105R;12455
PJ45;105R;13261
PJ591;105R;13652
PJ47;105R;13889
PJ48;105R;14423
PJ49;105R;14968
PJ50;105R;15174
PB76;105R;15847
PB77;105R;16214
PB78;105R;16446
PB79;105R;16700
PB80;105R;17023
PB81;105R;17291
PB82;105R;17690
PB83;105R;17939
PB84;105R;18205
PB85;105R;18442
PB86;105R;18687
PB1709;105R;18895
PB87;105R;19205
PB88;105R;19591
PB89;105R;19856
PB90;105R;20150
PB91;105R;20495
PB92;105R;20705
PB93;105R;21055
PB94;105R;21365
PB95;105R;21748
PB96;105R;21981
PB97;105R;22343
PB98;105R;22580
PB832;105R;22831
PB1642;105R;23345
PB1692;105R;23534
PB1387;105R;23720
PB1521;105R;24186
PB1540;105R;24021
PB1541;105R;24038
-;106I;1447
PI369;106I;828
PI370;106I;1090
PI371;106I;1393
PI372;106I;1641
PI373;106I;2113
PI374;106I;2481
PI375;106I;2793
PI376;106I;3187
PI377;106I;3719
PI1674;106I;3882
PI378;106I;4087
PI379;106I;4546
PI380;106I;4848
PI565;106I;4986
PI1353;106I;5373
PI1351;106I;5932
PI1352;106I;6479
PI386;106I;7028
PI231;106I;7495
PI232;106I;7888
PI233;106I;8208
PI234;106I;8561
PI235;106I;8917
PI236;106I;9496
PI387;106I;9769
PI388;106I;10233
PI389;106I;10488
PI390;106I;11019
PI391;106I;11393
PI392;106I;11829
PI393;106I;12195
PI394;106I;12448
PI395;106I;13011
PI396;106I;13476
PI397;106I;13760
PI398;106I;14253
PI1632;106I;14708
PI437;106I;15050
PI438;106I;15820
PI448;106I;16216
PI340;106I;16768
PI439;106I;16911
PI342;106I;17574
PI343;106I;17842
PA163;106I;18587
PA164;106I;19000
PA668;106I;19634
PA215;106I;20189
PA350;106I;20446
PA168;106I;21153
PA169;106I;21588
PA342;106I;22035
PC1148;106I;22493
PC200;106I;22863
PC201;106I;23172
PC202;106I;23676
PC38;106I;24053
PC39;106I;24366
PC40;106I;24715
PC41;106I;25051
PC42;106I;25329
PC43;106I;25607
PC44;106I;25914
PD108;106I;26123
PD109;106I;26382
PD110;106I;26617
PD429;106I;27153
PD112;106I;27336
PD113;106I;27715
PD114;106I;28084
PD528;106I;28208
PD529;106I;28744
PD61;106I;29499
PD62;106I;29783
PD63;106I;29993
PD64;106I;30293
PD65;106I;30601
PD66;106I;30906
PD67;106I;31235
PD68;106I;31572
PD1449;106I;31837
PD69;106I;32113
PD70;106I;32461
PD71;106I;32852
PD72;106I;33169
PD73;106I;33435
PD1417;106I;33683
PD74;106I;34046
PD130;106I;34388
PE1410;106I;34752
PE35;106I;35364
PE36;106I;35686
PD1347;106I;36213
PD1346;106I;36455
PD133;106I;36742
PD134;106I;37105
PD135;106I;37454
PD136;106I;37804
PD137;106I;38032
PD138;106I;38135
PE883;106I;38389
PE38;106I;38691
PE40;106I;39003
-;106IPM;-1
PI369;106IPM;-1
PI370;106IPM;-1
PI371;106IPM;-1
PI372;106IPM;-1
PI373;106IPM;-1
PI374;106IPM;-1
PI375;106IPM;-1
PI376;106IPM;-1
PI377;106IPM;-1
PI1674;106IPM;-1
PI378;106IPM;-1
PI379;106IPM;-1
PI380;106IPM;-1
PI565;106IPM;-1
PI1353;106IPM;-1
PI1351;106IPM;-1
PI1352;106IPM;-1
PI386;106IPM;-1
PI231;106IPM;-1
PI232;106IPM;-1
PI233;106IPM;-1
PI234;106IPM;-1
PI235;106IPM;-1
PI236;106IPM;-1
PI387;106IPM;-1
PI388;106IPM;-1
PI389;106IPM;-1
PI390;106IPM;-1
PI391;106IPM;-1
PI392;106IPM;-1
PI393;106IPM;-1
PI394;106IPM;-1
PI395;106IPM;-1
PI396;106IPM;-1
PI397;106IPM;-1
PI398;106IPM;-1
PI1632;106IPM;-1
PI437;106IPM;-1
PI438;106IPM;-1
PI448;106IPM;-1
PI340;106IPM;-1
PI439;106IPM;-1
PI342;106IPM;-1
PI343;106IPM;-1
PA163;106IPM;-1
PA164;106IPM;-1
PA668;106IPM;-1
PA215;106IPM;-1
PA350;106IPM;-1
PA168;106IPM;-1
PA169;106IPM;-1
PA342;106IPM;-1
PC1148;106IPM;-1
PC200;106IPM;-1
PC201;106IPM;-1
PC202;106IPM;-1
PC38;106IPM;-1
PC39;106IPM;-1
PC40;106IPM;-1
PC41;106IPM;-1
PC42;106IPM;-1
PC43;106IPM;-1
PC44;106IPM;-1
PD108;106IPM;-1
PD109;106IPM;-1
PD110;106IPM;-1
PD429;106IPM;-1
PD112;106IPM;-1
PD113;106IPM;-1
PD114;106IPM;-1
PD528;106IPM;-1
PD529;106IPM;-1
PD83;106IPM;-1
PD84;106IPM;-1
PD63;106IPM;-1
PD64;106IPM;-1
PD65;106IPM;-1
PD66;106IPM;-1
PD67;106IPM;-1
PD68;106IPM;-1
PD1449;106IPM;-1
PD69;106IPM;-1
PD70;106IPM;-1
PD71;106IPM;-1
PD72;106IPM;-1
PD73;106IPM;-1
PD1417;106IPM;-1
PD74;106IPM;-1
PD130;106IPM;-1
PE1410;106IPM;-1
PE35;106IPM;-1
PE36;106IPM;-1
PD1347;106IPM;-1
PD1346;106IPM;-1
PD133;106IPM;-1
PD134;106IPM;-1
PD135;106IPM;-1
PD136;106IPM;-1
PD137;106IPM;-1
PD138;106IPM;-1
PE883;106IPM;-1
PE38;106IPM;-1
PE40;106IPM;-1
PE42;106R;135
PE37;106R;552
PE39;106R;869
PD1409;106R;1074
PD139;106R;1337
PD140;106R;1526
PD141;106R;1832
PD142;106R;2130
PD143;106R;2349
PD144;106R;2565
PD1397;106R;2828
PD145;106R;3424
PD146;106R;3621
PD1374;106R;3963
PD85;106R;4348
PD147;106R;4773
PD87;106R;5198
PD148;106R;5374
PD149;106R;5683
PD88;106R;5939
PD89;106R;6341
PD1428;106R;6648
PD90;106R;6980
PD91;106R;7212
PD92;106R;7572
PD93;106R;7871
PD94;106R;8178
PD95;106R;8506
PD96;106R;8819
PD97;106R;9030
PD98;106R;9275
PD161;106R;9986
PD162;106R;10525
PD163;106R;10807
PD164;106R;11163
PD165;106R;11596
PD166;106R;11909
PD167;106R;12199
PD168;106R;12408
PC45;106R;12707
PC46;106R;12931
PC47;106R;13264
PC48;106R;13549
PC49;106R;14034
PC50;106R;14369
PC51;106R;14536
PC192;106R;14885
PC193;106R;15193
PC194;106R;15621
PC195;106R;16010
PC196;106R;16260
PA343;106R;16726
PA41;106R;17087
PA344;106R;17931
PA345;106R;18167
PA346;106R;19008
PA347;106R;19475
PA348;106R;19943
PA349;106R;20395
PI403;106R;21209
PI404;106R;21675
PI405;106R;22114
PI471;106R;22611
PI406;106R;23028
PJ112;106R;23810
PI407;106R;24577
PI408;106R;24987
PI409;106R;25243
PI410;106R;25745
PI411;106R;26218
PI412;106R;26634
PI413;106R;27026
PI414;106R;27449
PI415;106R;27698
PI416;106R;28257
PI417;106R;28572
PI418;106R;28932
PI253;106R;29348
PI217;106R;29924
PI218;106R;30289
PI219;106R;30732
PI220;106R;31110
PI221;106R;31499
PI419;106R;31886
PI420;106R;32297
PI422;106R;32825
PI423;106R;33292
PI424;106R;33502
PI425;106R;33890
PI426;106R;34099
PI427;106R;34388
PI1673;106R;34643
PI428;106R;34883
PI429;106R;35271
PI430;106R;35614
PI431;106R;35996
PI432;106R;36340
PI433;106R;36799
PI434;106R;37256
PI435;106R;37563
PI436;106R;37764
-;106R;37294
PB115;107I;0
PB101;107I;322
PB102;107I;716
PB103;107I;949
PB104;107I;1125
PB1580;107I;1386
PB105;107I;1782
PB106;107I;1957
PB107;107I;2209
PB4;107I;2649
PB5;107I;3008
PB6;107I;3369
PB7;107I;3783
PB8;107I;3943
PB9;107I;4230
PB10;107I;4497
PB11;107I;4726
PB1587;107I;5090
PB14;107I;5502
PB15;107I;5839
PB16;107I;6225
PB18;107I;6694
PB1469;107I;6985
PB1563;107I;7509
PB21;107I;7903
PB22;107I;8658
PB23;107I;8962
PB24;107I;9453
PB108;107I;9907
PJ1;107I;10625
PJ2;107I;10933
PJ3;107I;11372
PJ4;107I;11661
PJ5;107I;12077
PJ6;107I;12209
PJ7;107I;12525
PJ8;107I;12952
PJ9;107I;13316
PJ10;107I;13642
PJ11;107I;14098
PJ12;107I;14382
PJ13;107I;14692
PJ14;107I;14969
PJ15;107I;15185
PJ1582;107I;15401
PJ16;107I;15561
PJ17;107I;15858
PJ18;107I;16418
PI1;107I;16853
PI2;107I;17232
PI49;107I;17578
PI50;107I;18028
PI51;107I;18524
PI53;107I;19513
PI1375;107I;19796
PI55;107I;20093
PI56;107I;20466
PH2;107I;20990
PH3;107I;21544
PH4;107I;21952
PH5;107I;22303
PH6;107I;22545
PH1454;107I;22834
PH7;107I;23116
PH8;107I;23364
PH9;107I;23734
PH10;107I;23983
PH11;107I;24221
PH12;107I;24638
PH13;107I;24911
PH14;107I;25218
PH15;107I;25625
PH16;107I;25782
PH17;107I;26149
PH18;107I;26324
PH19;107I;26744
PH1456;107I;26968
PH1491;107I;27286
PH21;107I;27474
PH22;107I;27738
PE1;107I;28269
PE2;107I;28761
PE3;107I;29406
PE4;107I;29799
PE5;107I;30128
PE874;107I;30340
PE1410;107I;30468
PE35;107I;31080
PE36;107I;31402
PE1284;107I;31833
PE1286;107I;32190
PE1285;107I;32480
PE1413;107I;32840
PD1409;107I;33352
PD618;107I;33539
PD1452;107I;33971
PD620;107I;34192
PD614;107R;286
PD462;107R;483
PD463;107R;645
PD137;107R;868
PD138;107R;971
PD169;107R;1264
PD171;107R;1665
PD172;107R;1928
PD170;107R;2375
PD145;107R;2811
PD146;107R;3008
PD1374;107R;3350
PD1443;107R;3721
PD1444;107R;3848
PD1;107R;4206
PD2;107R;4503
PD1161;107R;4967
PD4;107R;5299
PD5;107R;5818
PH23;107R;6443
PH24;107R;6816
PH1455;107R;7055
PH26;107R;7434
PH27;107R;7739
PH28;107R;7961
PH29;107R;8216
PH30;107R;8576
PH31;107R;8848
PH32;107R;9278
PH33;107R;9534
PH34;107R;9768
PH35;107R;10104
PH36;107R;10339
PH37;107R;10673
PH38;107R;11029
PH1453;107R;11280
PH39;107R;11547
PH40;107R;11801
PH41;107R;12132
PH42;107R;12489
PH43;107R;13052
PH44;107R;13479
PI57;107R;13731
PI58;107R;14394
PI60;107R;14719
PI61;107R;15536
PI62;107R;15959
PI63;107R;16474
PI64;107R;16806
PI45;107R;17147
PI46;107R;17619
PI47;107R;18226
PI48;107R;18518
PJ19;107R;18851
PJ20;107R;19136
PJ21;107R;19411
PJ22;107R;19740
PJ23;107R;19996
PJ24;107R;20331
PJ25;107R;20774
PJ26;107R;21253
PJ27;107R;21563
PJ28;107R;22012
PJ29;107R;22425
PJ30;107R;22756
PJ31;107R;23175
PJ32;107R;23388
PB25;107R;24212
PB26;107R;24459
PB27;107R;24877
PB28;107R;25263
PB29;107R;26014
PB31;107R;26462
PB32;107R;27021
PB1586;107R;27459
PB35;107R;27766
PB36;107R;28140
PB37;107R;28507
PB38;107R;28920
PB40;107R;29316
PB43;107R;30117
PB44;107R;30306
PB45;107R;30799
PB46;107R;31113
PB47;107R;31563
PB109;107R;31852
PB110;107R;32067
PB111;107R;32314
PB112;107R;32498
PB1581;107R;32680
PB113;107R;33176
PB114;107R;33607
PB115;107R;33984
PB115;107cI;0
PB101;107cI;322
PB102;107cI;716
PB103;107cI;949
PB104;107cI;1125
PB1580;107cI;1386
PB105;107cI;1782
PB106;107cI;1957
PB107;107cI;2209
PB4;107cI;2649
PB5;107cI;3008
PB6;107cI;3369
PB7;107cI;3783
PB8;107cI;3943
PB9;107cI;4231
PB10;107cI;4497
PB11;107cI;4726
PB1587;107cI;5091
PB14;107cI;5502
PB15;107cI;5840
PB16;107cI;6225
PB18;107cI;6694
PB1469;107cI;6985
PB1563;107cI;7509
PB21;107cI;7903
PB22;107cI;8658
PB23;107cI;8964
PB24;107cI;9454
PB108;107cI;9908
PB25;107cR;313
PB26;107cR;560
PB27;107cR;978
PB28;107cR;1364
PB29;107cR;2114
PB31;107cR;2563
PB32;107cR;3121
PB1586;107cR;3560
PB35;107cR;3866
PB36;107cR;4241
PB37;107cR;4608
PB38;107cR;5021
PB40;107cR;5416
PB43;107cR;6218
PB44;107cR;6406
PB45;107cR;6899
PB46;107cR;7213
PB47;107cR;7663
PB109;107cR;7953
PB110;107cR;8168
PB111;107cR;8415
PB112;107cR;8599
PB1581;107cR;8781
PB113;107cR;9277
PB114;107cR;9708
PB115;107cR;10084
PI528;108I;120
PI529;108I;392
PI1350;108I;591
PI89;108I;896
PI90;108I;1258
PI91;108I;1512
PI92;108I;1865
PI93;108I;2283
PI94;108I;2541
PI95;108I;2910
PI96;108I;3242
PI97;108I;3580
PI98;108I;3963
PI99;108I;4278
