latitude; longitude;name
-33.54175983;-70.787286;PI528
-33.54020487;-70.785012;PI529
-33.53910091;-70.783393;PI167
-33.53771295;-70.781315;PI486
-33.53613659;-70.77877245;PI487
-33.53411405;-70.776289;PI488
-33.53234106;-70.775753;PI489
-33.53040908;-70.77287732;PI94
-33.52770108;-70.774776;PI95
-33.52476307;-70.775254;PI96
-33.52172708;-70.775267;PI97
-33.51826908;-70.775321;PI98
-33.51795679;-70.77113987;PI465
-33.5178862;-70.769079;PI466
-33.51777025;-70.766182;PI467
-33.51677637;-70.760048;PI468
-33.51627242;-70.757608;PI469
-33.51600721;-70.75458497;PI566
-33.51612059;-70.75002515;PI567
-33.51621662;-70.747721;PI568
-33.51357863;-70.747312;PI226
-33.51135588;-70.74716579;PI227
-33.50918776;-70.74679101;PI569
-33.50722264;-70.74679;PI570
-33.50578264;-70.746419;PI571
-33.50367265;-70.74589;PI572
-33.50116479;-70.74525225;PI573
-33.49884168;-70.744654;PI574
-33.49673101;-70.74404097;PI575
-33.4951367;-70.743664;PI576
-33.4928477;-70.743147;PI577
-33.49216476;-70.74048;PI578
-33.49237178;-70.739018;PI579
-33.4910988;-70.738359;PI580
-33.48878781;-70.73748;PI581
-33.48769981;-70.737431;PI582
-33.48611582;-70.737375;PI583
-33.48274381;-70.737883;PI584
-33.48181984;-70.736079;PI585
-33.48090193;-70.73430545;PI586
-33.47936893;-70.73123;PI587
-33.47743254;-70.72790195;PI588
-33.47590647;-70.72545195;PI589
-33.47417009;-70.723053;PI590
-33.47224414;-70.720151;PI38
-33.47109917;-70.718363;PI39
-33.47001621;-70.71653;PI40
-33.46853126;-70.713337;PI41
-33.4675323;-70.711202;PI42
-33.46633034;-70.708885;PI43
-33.46517653;-70.70612887;PI44
-33.46424944;-70.703498;PI540
-33.46310067;-70.70083608;PI541
-33.46175277;-70.69811487;PI542
-33.46080756;-70.69613;PI543
-33.45971261;-70.693664;PI544
-33.45915368;-70.689596;PI545
-33.45906203;-70.684152;PI546
-33.45855197;-70.67241751;PA289
-33.45788265;-70.66855392;PA290
-33.45720351;-70.66423144;PA433
-33.45693903;-70.66107383;PA434
-33.46050225;-70.655619;PA465
-33.45892028;-70.653471;PA23
-33.45625621;-70.65376205;PA24
-33.45369928;-70.654095;PA466
-33.45053827;-70.65454;PA467
-33.44817737;-70.65490188;PA468
-33.44702427;-70.655081;PA213
-33.44495125;-70.655443;PA665
-33.44264372;-70.6559751;PA218
-33.440577;-70.65640762;PA219
-33.43709223;-70.656911;PA220
-33.43344796;-70.65735267;PA299
-33.43322851;-70.65389068;PA300
