paradas;servicios
PA166;113I-113R-113RPM-113eI-113eR-115I-115R-115RPM-122I-125I-125R
PA28;210I-229I-301eI-301eIPM-345I-405I-406I-426I-516I-516IPM
PA338;401I-401NI-407I-412I-418I-421I-427I
PA215;106I-106IPM-122I-210I-229I-301I-301eI-301eIPM-345I-385I-385IPRN-403I-403IPM-404I-419I-422I-422IPM-423I-424I
PA340;401I-401NI-407I-412I-418I-421I-427I
PA371;405I-406I-426I
PA168;106I-106IPM-210I-345I-403I-403IPM-419I-422I-422IPM-423I-516I-516IPM
PA378;406R-422R-426R
PH217;210I-213eI-221eR-224I-224IPM-224NI-E04R-E05R-E05RPRN-H14I-H14IPRN
PH198;205R-205eR-207eR-209R-209eR-227R-227RPM-230R
PH153;203R-203eR-206R-206eR
PH171;204I-204eI
PH51;204R-204eR
PH1442;103R-117R-117RPRN
PH29;102R-107R-108R
PH1430;212R
PE172;118R-118RPM-211I-E02R-E02RPRN-E16I
PE187;216I
PE65;205R-205eR-207cR-207eR-209R-209eR-230R
PE114;203R-203eR-206R-206eR-212R-G01R
PE1318;E01I-E09I-E09R-E11I-E16R
PG219;118I-118IPM-211R-E02I-E02IPRN-G11R-G11RN
PG116;203I-203eI
PG95;206I-206eI-212I-212IPM-216R-G01I
PG1616;205I-205eI-207cI-207eI-209I-209eI-230I
PH146;203I-203eI-206I-206eI-212I-212IPM
PH191;205I-205eI-207eI-209I-209eI-227I-230I
PH119;201I-214eR-223I-226I-229I
PH127;201R-214eI-223R-226R-229R-301R-301eR-301eRPM-H05R-H14I-H14IPRN
PH34;102R-107R-108R-H05cR
PH11;102I-107I-108I
PH16;102I-107I-108I
PD130;106I-106IPM-126I-126IPM-212I-212IPM-224I-224IPM-225I-D12R
PD210;211I-211R-211eI-211eR
PD216;212R-224R-225R-514I-514IPM-514cI-515NI-D12R
PD193;210R-213eR-221eI-D14I
PD75;104I-104IPM-112NR-112R-114I
PD851;D05I-D07R
PD904;D13I-D13IPRN-E05R-E05RPRN
PD5;102R-103I-107R-108R-117I-117IPRN-I12R-I12RPRN1-I12RPRN2
PD176;112I-112NI-225R-D07I-D12I
PD872;D05R-D05RPT
PD85;104R-106R-112I-112NI-114R-126R
PE160;118R-118RPM-211I-211eI-225I-E07IPRN-E08RPRN-E13RPRN-E14RPRN-E15R-E15RPM-E18R-E18RPRN
PE193;118I-118IPM-211R-211eR-224NR-224R-224cR-322I-322IPRN-E03I-E03IN-E04R-F25eI
PE184;118I-118IPM-211R-211eR-225R
PE125;210I-213eI-221eR-224I-224IPM-224NI-E04R-E05IPM
PE153;210R-213eR-221eI-224NR-224R
PE425;E03R-E03RN-E18R-E18RPRN
PE1262;322I-322IPRN-E03I-E03IN-E04R
PE1;102I-103R-107I-108I-117R-117RPRN-212R-H14R-H14RPRN-I12I-I12IPRN
PF88;205I-205eI-210I-213eI-221eR-222eR-F16I
PF176;F01I-F01cI-F03I-F03cI-F10R-F11R-F13R-F13cR-F17I-F21I
PF512;F12I-F12R-F12cI-F12cR-F13cI-F14R-F18R
PB303;203I-203eI-208I-208cI
PB305;203I-203eI-208I
PB308;203I-203eI-208I-B11I-B11R
PB325;203R-203eR-208R-B11I-B11R
PB328;203R-203eR-208R
PB330;203R-203eR-208R-208cR
PB1269;B14I-B21R
PB1283;B14R-B21I
PB683;223I-B01I-B22I
PB724;B01R-B06I-B12I-B12R-B22R
PB7;101I-107I-107cI
PB44;101R-107R-107cR
PB82;105R-109R-120R-408R-408RPT-410R-410RPT-B03R-B09R-B20R
PB69;105I-109I-120I-408I-410I-B03I-B09I-B20I
PB108;101I-107I-107cI
PB31;101R-107R-107cR-B17I
PB25;101R-107R-107cR
PB422;303I-307I-314I-B26I
PI1230;404cI-404cR-413cI-413cR-431cI-431cR-I08I-I08IPRN-I08R-I08RPRN
PI169;109I-109NI-345R-345RPM-511I-511IPM-B26I-J13R
PI67;105I-120I
PI80;105R-120R-407R-427R
PI46;101R-101cR-102R-107R-I10I
PI405;106R-313eR-313eRPT-401NR-401R-405R-419R-421R-423R
PI449;210R-404R-412R-418R-418RPT-424R-510R-511R-516R-I09R-I09eR-J13I
PI403;106R-401NR-401R-405R-419R-421R-423R
PI437;106I-106IPM-404I-404cI-419I-423I-424I-431cI
PI470;405I-413cI
PI400;401I-401NI-412I-418I-421I
PI1042;510I-510IPM-516I-516IPM-I08I-I08IPRN-I08cI-I09I-I09cI-I09eI
PI401;401I-401NI-405I-412I-418I-421I-510I-510IPM-511I-511IPM-516I-516IPM-I09I-I09eI-I14I-I14IPRN-I16I-J13R
PI340;106I-106IPM-210I-404I-407I-419I-423I-424I-427I
PI402;401I-401NI-407I-412I-418I-421I-427I-510I-510IPM
PI343;106I-106IPM-210I-221eR-385I-385IPRN-404I-419I-423I-424I-516I-516IPM-I09I-I09eI-I14I-I14IPRN-I17I
PJ351;503R-503cR-504R-507R-517R
PJ335;503I-503IPM-504I-507I-517I-517IPM
PJ10;101I-107I
PJ24;101R-107R-J02I
PJ1552;J01R-J08R
PJ1586;511R-J01I-J08I
PJ18;101I-101cI-102I-107I
PJ113;412R-418R-418RPT
PJ112;106R-401NR-401R-405R-413cR-419R-421R-423R-431cR
PJ165;404R-404cR-424R-510R-516R
PJ538;I08R-I08RPRN-I08cR
PJ539;I09R-I09cR-I09eR
PJ956;J04cI-J13I-J13cI
PJ149;402R-406R-407R-422R-426R-427R
PJ128;406I-407I-422I-422IPM-426I-427I
PJ184;402I-511I-511IPM
PJ84;110R-110cR-J14cR
PG1585;321I-348I-348R-E02I-E02R-E03I-E03R-G11I-G11R-G12I-G12R-G18I-G18IN-G18R-G18RN-H03I-H03R-H07I-H07R-H08I-H08R-I05I-I05R
PG1583;201cI-201cR-211cI-211cR-219eI-228I-228R-301c2I-301cI-301cIPM-301cR-301cRPM-428I-428R-428cI-428cR-428eI-428eR-F05I-F05R-F06I-F06R-F20I-F20R-G04I-G04R-G05I-G05R-G08I-G08R-G08vI-G08vR-G13I-G13R-G15I-G15R-G16I-G16R-G22I-G22R
PE1282;322I-322R-D06I-D06R-D13I-D13R-E05I-E05IPM-E05R-E06I-E06IPM-E06R-E07I-E07R-E08I-E08IPT-E08R-E08RPM-E13I-E13IPT-E13R-E13RPM-E14I-E14IPM-E14R-E14RPT-E15cI-E15cR-E17I-E17R-E18I-E18R-F25I-F25R-F25RPM-F25eI-F25eIPT-F25eR-F25eRPM
PB1575;117I-117R-117cI-117cR-B13I-B13R-B16I-B16R-B18I-B18R-B25I-B25R-B27I-B27R
PB865;B04R-B20R
PB1274;B14I-B21R-B25I-B25IPRN
PB1275;B14I-B21R-B25I-B25IPRN
PB1277;B14R-B21I-B25R-B25RPRN
PB1278;B14R-B21I-B25R-B25RPRN
PB384;301I-B03I-B10I-B24I
PB1124;B10I
PB856;B04I-B04vI-B10I
PB857;B04I-B04vI-B10I
PB858;B04I-B04vI-B10I
PB859;B04I-B04vI-B10I
PB1123;B10I
PB860;B04I-B10I
PB861;B04I-B10I
PB862;B04I
PB863;B04I
PB1130;B10R
PB1129;B10R
PB875;B04R-B04vR-B10R
PB874;B04R-B04vR-B10R
PB1606;B10R
PB873;B04R-B04vR-B10R
PB876;B04R-B04vR-B10R
PB872;B04R-B04vR-B10R
PB902;B04R-B04vR-B10R
PB871;B04R
PB870;B04R
PB390;301R-B03R-B04vR-B10R-B24R
PB389;301R-B03R-B04vR-B10R-B24R
PB388;301R-B03R-B04vR-B10R-B24R
PB391;301R-B03R-B24R
PB382;301I-B03I-B24I
PB383;301I-B03I-B10I-B24I
PB866;B04R-B20R
PB1276;202cI-230I-B02I-B03I-B14I-B23I-B27I
PB853;B04I-B04vI
PB880;B04R-B04vR
PB878;B04R-B04vR
PB877;B04R-B04vR
PB854;B04I-B04vI
PB879;B04R-B04vR
PB1317;B17I
PB1318;B17I
PB1316;B17I-B23I
PB1334;B17R
PB1333;B17R
PB1314;B17I-B23I
PB1315;B17I-B23I
PB1336;B17R-B23R
PB1337;B17R
PB1126;B10I-B24I
PB1125;B10I-B24I
PB867;B04R-B20R
PB1325;B17R
PB758;B02R-B04vI-B17I-B25I-B25IPRN
PB759;B02R-B04vI-B17I-B25I-B25IPRN
PB869;B04R
PB376;301I-B03I-B24I
PB395;301R-B03R-B24R
PB394;301R-B03R-B24R
PB393;301R-B03R-B24R
PB392;301R-B03R-B24R
PB377;301I-B03I-B24I
PB378;301I-B03I-B24I
PB379;301I-B03I-B24I
PB380;301I-B03I-B24I
PB381;301I-B03I-B24I
PB396;301R-B03R-B24R
PB387;301R-B02I-B03R-B04vR-B10R-B24R-B25R-B25RPRN
PB855;B04I-B04vI
PB1481;B23R
PB1480;B23R
PB1479;B23R
PB1628;B23R
PB1478;B23R
PB1647;B23R
PB1482;B23R
PB1472;B23I
PB1473;B23I
PB1474;B23I
PB1475;B23I
PB1627;B23I
PB1476;B23I
PB1477;B23I
PB852;B04I-B04vI
PB1465;B23R
PB1466;B23R
PB1464;B23R
PB1566;B25I-B25IPRN
PB900;B04vI-B17I
PB901;B04vI-B17I
PB899;B04vI-B17I
PB1335;B17R-B23R
PB385;301I-B03I-B10I-B24I
PB868;B04R
PB1331;B17R
PB1330;B17R
PB1329;B17R
PB1328;B17R
PB1332;B17R
PB1327;B17R
PB1326;B17R
PB1646;B17R
PB397;301R-B17I
PB1319;B17I
PB1320;B17I
PB1321;B17I
PB587;308R-B02R-B14R-B23R
PB214;201R-201eR-202cR-223R-230R-308R-B02R-B14R-B23R-B27R-B27RPRN
PJ798;J07I-J07cI
PJ797;J07I-J07cI
PJ1595;B09R-J07I-J07cI
PJ796;B09R-J07I-J07cI
PJ795;B09R-J07I-J07cI
PJ843;J07eI
PJ1594;B09I-J07eI
PJ844;B09I-J07eI
PJ845;B09I-J07eI
PJ842;J07eI
PJ803;J07I
PJ802;J07I
PJ1781;J07I
PJ1641;J07I
PJ1640;J07eI
PJ835;J07eI
PJ1782;J07eI
PJ834;J07eI
PJ1646;J07I
PJ1644;J07I
PJ1808;J07I
PJ1567;J07I
PJ1615;J07I
PJ800;J07I
PJ1568;J07I
PJ799;J07I
PJ1643;J07I
PJ1596;J07I
PJ1597;J07I
PJ1648;J07I
PJ1649;J07I
PJ839;J07eI
PJ1614;J07eI
PJ1616;J07eI
PJ841;J07eI
PJ837;J07eI
PJ1642;J07eI
PJ838;J07eI
PJ840;J07eI
PJ1651;J07eI
PJ1598;J07eI
PJ1650;J07eI
PJ1647;J07eI
PJ1645;J07eI
PJ1809;J07eI
PJ1795;J19R-J19RPM
PJ943;J11I-J12R
PJ944;J11I-J12R
PJ637;424I
PJ1763;424I
PJ929;J10R
PJ928;J10R
PJ927;J10R
PJ1748;J10R
PJ922;J10I
PJ923;J10I
PJ924;J10I
PJ921;J10I
PJ867;J08R
PJ945;J11R
PJ946;J11R
PJ947;J11R
PJ948;J11R
PJ942;J11I
PJ941;J11I
PJ940;J11I
PJ939;J11I
PJ851;J08I
PJ248;424R-J08R
PJ241;424I-J08I
PJ422;407I-504R-514I-514IPM
PJ423;407I-504R-514I-514IPM-J02R-J18R-J18cR
PJ424;407I-514I-514IPM
PJ425;407I-507I-514I-514IPM-J07eI
PJ426;407I-507I-514I-514IPM-J07eI
PJ427;407I-507I-514I-514IPM-J07eI
PJ379;407R-504I-514R-514RPM-514RPT
PJ378;407R-504I-514R-514RPM-514RPT
PJ377;407R-504I-514R-514RPM-514RPT-J02I-J18I-J18cI
PJ376;407R-507R-514R-514RPM-514RPT-J07I-J07cI
PJ375;407R-507R-514R-514RPM-514RPT-J07I-J07cI
PJ374;407R-507R-514R-514RPM-514RPT-J07I-J07cI
PJ373;407R-507R-514R-514RPM-514RPT-J07I-J07cI
PJ887;514R-514RPM-514RPT
PJ886;514R-514RPM-514RPT
PJ888;514R-514RPM-514RPT
PJ220;418R-418RPT-514R-514RPM-514RPT-J17I
PJ219;418R-418RPT-514R-514RPM-514RPT-J17I
PJ218;418R-418RPT-514R-514RPM-514RPT-J17I
PJ217;418R-418RPT-514R-514RPM-514RPT-J17I
PJ216;418R-418RPT-514R-514RPM-514RPT-J17I
PJ210;418I-514I-514IPM-J17R
PJ211;418I-514I-514IPM-J17R
PJ212;418I-514I-514IPM-J17R
PJ213;418I-514I-514IPM-J17R
PJ1682;418I-514I-514IPM-J17R
PJ850;J08I
PJ872;J08R
PJ871;J08R
PJ985;511I-511IPM-J06I-J15cI
PJ235;424I-510R-510cR-516R-J14cI
PJ236;424I-510R-510cR-516R-J14cI
PI773;424I-510R-510cR-516R-I02R-J14cI
PI774;424I-510R-510cR-516R-I02R-J14cI
PJ986;511I-511IPM-J06I-J15cI
PJ1671;424I-510R-510cR-516R-I02R-J14cI
PJ254;424R-510I-510IPM-510cI-516I-516IPM-J14cR
PJ253;424R-510I-510IPM-510cI-516I-516IPM-J14cR
PJ1683;424R-510I-510IPM-510cI-516I-516IPM-I02I-J14cR
PI740;424R-510I-510IPM-510cI-516I-516IPM-I02I-J14cR
PI739;424R-510I-510IPM-510cI-516I-516IPM-I02I-J14cR
PJ930;503I-503IPM-J10R
PJ1684;510I-510IPM-510cI-516I-516IPM-J14cR
PJ630;510R-510cR-516R-J01R-J14cI-J19R-J19RPM-J19cR
PJ629;510R-510cR-516R-J01R-J14cI-J19R-J19RPM-J19cR
PJ628;510R-510cR-516R-J01R-J14cI-J19R-J19RPM-J19cR
PJ631;510R-510cR-516R-J01R-J14cI-J19R-J19RPM-J19cR
PJ549;510I-510IPM-510cI-516I-516IPM-J01I-J14cR-J19I-J19cI
PJ550;510I-510IPM-510cI-516I-516IPM-J01I-J14cR-J19I-J19cI
PJ551;510I-510IPM-510cI-516I-516IPM-J01I-J14cR-J19I-J19cI
PJ552;510I-510IPM-510cI-516I-516IPM-J01I-J14cR-J19I-J19cI
PJ246;424R-I02R-J08I-J08cR
PJ245;424R-I02R-J08I-J08cR
PJ1735;424R-I02R-J08I-J08cR
PJ1712;J08R
PJ1713;J08R-J08cR
PJ1715;J08R
PJ244;424I-I02I-J08R-J08cI
PJ1553;424I-I02I-J08R-J08cI
PJ1714;J08I-J08cI
PJ1629;J12I-J12R
PJ1632;J12I-J12R
PJ1630;J12I-J12R
PJ1628;J12I-J12R
PJ1631;J12I
PJ636;424I-J01R
PJ1716;514I-514IPM-J18R
PJ250;424R-J08R
PJ249;424R-J08R
PJ982;510R-510cR-516R-J14cI
