latitude; longitude;name
-33.50993943;-70.757162;PI230
-33.45544567;-70.628852;PD524
-33.46923446;-70.576395;PD535
-33.4606364;-70.65684579;PA435
-33.5284003;-70.76695205;PI532
-33.52662124;-70.766967;PI533
-33.53910091;-70.783393;PI167
-33.53771295;-70.781315;PI486
-33.53613659;-70.77877245;PI487
-33.53411405;-70.776289;PI488
-33.54020487;-70.785012;PI529
-33.47816205;-70.532074;PD541
-33.4789111;-70.528477;PD542
-33.47722782;-70.737401;PI535
-33.47615888;-70.733912;PI536
-33.47775076;-70.740291;PI534
-33.52526839;-70.76598851;PI378
-33.52543847;-70.76105698;PI379
-33.52542842;-70.757806;PI380
-33.47492801;-70.727315;PI538
-33.47291589;-70.72451194;PI539
-33.47607996;-70.729952;PI537
-33.53234106;-70.775753;PI489
-33.54175983;-70.787286;PI528
-33.52947659;-70.76848817;PI531
-33.52617443;-70.75715;PI565
-33.51483843;-70.75727;PI1346
-33.50509343;-70.757213;PI231
-33.50154143;-70.757291;PI232
-33.49865687;-70.75731034;PI233
-33.52483044;-70.757167;PI1345
-33.49547377;-70.75721386;PI234
-33.49293047;-70.755382;PI235
-33.48883754;-70.751699;PI236
-33.48704688;-70.74975221;PI387
-33.48403676;-70.74641533;PI388
-33.48199467;-70.745133;PI389
-33.51922644;-70.757146;PI1344
-33.47294809;-70.72302098;PI1461
-33.53040908;-70.77287732;PI94
-33.52908316;-70.770686;PI530
-28.75045252;-38.74938234;PD525
-33.46147767;-70.61856694;PD644
-33.46186009;-70.61339493;PD589
-33.46213199;-70.60884;PD115
-33.46339006;-70.603428;PD116
-33.46470141;-70.59701886;PD590
-33.46549927;-70.588972;PD592
-33.46712137;-70.582358;PD645
-33.45855197;-70.67241751;PA289
-33.45788265;-70.66855392;PA290
-33.45720351;-70.66423144;PA433
-33.45693903;-70.66107383;PA434
-33.46003415;-70.65181493;PA436
-33.45976835;-70.64947;PA658
-33.45895406;-70.64537932;PA438
-33.45855168;-70.64353213;PA439
-33.45773262;-70.63963676;PA440
-33.45722055;-70.637125;PA666
-33.45642488;-70.63346949;PA442
-33.47065427;-70.56931398;PD571
-33.47174663;-70.563696;PD572
-33.4727777;-70.558496;PD573
-33.47324383;-70.55612193;PD1322
-33.47400576;-70.55288611;PD537
-33.47496157;-70.54809458;PD538
-33.4757569;-70.544035;PD1323
-33.47629893;-70.541348;PD539
-33.47723372;-70.53661115;PD540
-33.47109917;-70.718363;PI39
-33.47001621;-70.71653;PI40
-33.46853126;-70.713337;PI41
-33.4675323;-70.711202;PI42
-33.46633034;-70.708885;PI43
-33.46517653;-70.70612887;PI44
-33.46424944;-70.703498;PI540
-33.46310067;-70.70083608;PI541
-33.46175277;-70.69811487;PI542
-33.47224414;-70.720151;PI38
-33.46080756;-70.69613;PI543
-33.45971261;-70.693664;PI544
-33.45906203;-70.684152;PI546
-33.45915368;-70.689596;PI545
