service;origin;destiny;color;color_id
405;MAIPU ; CANTAGALLO;F58220;1
405c;PLAZA ITALIA ; VITACURA;F58220;1
406; PUDAHUEL ; CANTAGALLO;F58220;1
406c;(M) ESCUELA MILITAR ; CANTAGALLO;F58220;1
407;ENEA ; HOSPITAL DIPRECA;F58220;1
408;RENCA ; MAPOCHO;00D5FF;1
408e;RENCA ; MAPOCHO;00D5FF;1
409;MAPOCHO ; PLAZA SAN ENRIQUE;F58220;1
410;RENCA ; PROVIDENCIA;00D5FF;1
410e;RENCA ; PROVIDENCIA;00D5FF;1
411;PROVIDENCIA ; PLAZA SAN ENRIQUE;F58220;1
412;(M) SAN PABLO ; LA REINA;F58220;1
413c;AVENIDA PORTALES ; (M) LAS REJAS;F58220;1
413v;AVENIDA PORTALES ; (M) PLAZA DE MAIPU;F58220;1
414e;(M) PUDAHUEL ; LOS TRAPENSES;F58220;1
415e;(M) PUDAHUEL ; (M) MANQUEHUE;F58220;1
416e;MAIPU ; VITACURA;F58220;1
417e;MAIPU ; (M) MANQUEHUE;F58220;1
418;ENEA ; AV. TOBALABA;F58220;1
419;VILLA LOS HEROES ; PLAZA ITALIA;F58220;1
420e;(M) ESCUELA MILITAR ; LO HERMIDA;F58220;1
421;MAIPU ; SAN CARLOS DE APOQUINDO;F58220;1
422;POBL. TENIENTE MERINO ; LA REINA;F58220;1
423;SEGUNDA TRANSVERSAL ; PLAZA ITALIA;F58220;1
424;PUDAHUEL SUR ; (M) U. DE CHILE;F58220;1
425;RIGOBERTO JARA ; LO HERMIDA;F58220;1
426; PUDAHUEL ; LA DEHESA;F58220;1
427;PUDAHUEL ; HOSPITAL DIPRECA;F58220;1
428;QUILICURA ; (M) LA CISTERNA;F58220;1
428c;PUDAHUEL ; (M) LA CISTERNA;F58220;1
428e;QUILICURA ; (M) LA CISTERNA;F58220;1
429;LO ECHEVERS ; LO HERMIDA;F58220;1
429c;QUILICURA ; (M) TOBALABA;F58220;1
430;QUILICURA ; LA DEHESA;F58220;1
431c;NUEVA SAN MARTIN ;  (M) LAS REJAS;F58220;1
431v;NUEVA SAN MARTíN ; (M) PLAZA DE MAIPU;F58220;1
435;QUILICURA ; VITACURA;F58220;1
501;(M) PARQUE BUSTAMANTE; VITAL APOQUINDO;00D9A3;1
502;CERRO NAVIA ; CANTAGALLO;00D9A3;1
502c;CERRO NAVIA ; SANTIAGO;00D9A3;1
503;AV. LA ESTRELLA  ; VITAL APOQUINDO;00D9A3;1
504;ENEA ; HOSPITAL DIPRECA;00D9A3;1
505;CERRO NAVIA ; PEñALOLEN;00D9A3;1
506;MAIPU ; PEñALOLEN;00D9A3;1
506e;MAIPU ; PEñALOLEN;00D9A3;1
506v;VILLA EL ABRAZO ; PEñALOLEN;00D9A3;1
507;ENEA ; AV. GRECIA;00D9A3;1
507c;(M) PARQUE O'HIGGINS ; PEñALOLEN;00D9A3;1
508;ENEA; AV. LAS TORRES;00D9A3;1
509;MAIPU ; MAPOCHO;00D9A3;1
510;PUDAHUEL SUR ; RIO CLARO;00D9A3;1
510c;PUDAHUEL SUR ; (M) PAJARITOS;00D9A3;1
511;CERRO NAVIA ; PEñALOLEN;00D9A3;1
513;EL MONTIJO ; JOSE ARRIETA;00D9A3;1
514;ENEA ; SAN LUIS DE MACUL;00D9A3;1
514c;(M) SALVADOR ;SAN LUIS DE MACUL;00D9A3;1
515N;CENTRO;SAN LUIS DE MACUL;00D9A3;1
516;PUDAHUEL SUR; LAS PARCELAS;00D9A3;1
517;J.J.PEREZ  ; PEñALOLEN;00D9A3;1
518;J.J. PEREZ ; BILBAO;00D9A3;1
519e;ALAMEDA ; AV.GRECIA;00D9A3;1
541N;EL TRANQUE ; COLóN;00D9A3;1
B01;EL SALTO ; HUAMACHUCO;ED1C24;1
B02;CAMINO PUNTA MOCHA ; ESTACIóN MAPOCHO;ED1C24;1
B02N;HUECHURABA ; PLAZA ITALIA;ED1C24;1
B03;MIRAFLORES ; (M) CERRO BLANCO;ED1C24;1
B04;EL CORTIJO ; MAPOCHO;ED1C24;1
B04v;EL CORTIJO ; (M) CERRO BLANCO;ED1C24;1
B05;BARRIO SAN IGNACIO ; CIUDAD EMPRESARIAL;ED1C24;1
B06;(M) ZAPADORES ; SANTA LAURA;ED1C24;1
B07;SANTA LUISA ; PARQUE INDUSTRIAL;ED1C24;1
B08;LO MARCOLETA ; MALL PLAZA NORTE;ED1C24;1
B09;LO MARCOLETA ; MALL PLAZA NORTE;ED1C24;1
B10;LO BOZA ; HOSPITAL FELIX BULNES;ED1C24;1
B11;EL SALTO ; LO MARCOLETA;ED1C24;1
B12;(M) ZAPADORES ; LO MARCOLETA;ED1C24;1
B13;(M) VESPUCIO NORTE ; LO MARCOLETA;ED1C24;1
B14;EL SALTO ; MAPOCHO;ED1C24;1
B15;ARZOBISPO VALDIVIESO ; MAPOCHO;ED1C24;1
B16;EL CARMEN ; (M) VESPUCIO NORTE;ED1C24;1
B17;HUAMACHUCO ; AV. ARZOBISPO VALDIVIESO;ED1C24;1
B18;VILLA PUCARA ; (M) VESPUCIO NORTE;ED1C24;1
B18e;VILLA PUCARA ; (M) VESPUCIO NORTE;ED1C24;1
B19;HUECHURABA ; CAMINO PUNTA MOCHA;ED1C24;1
B20;MIRAFLORES ; MAPOCHO;ED1C24;1
B21;PLAZA CHACABUCO ; LO MARCOLETA;ED1C24;1
B22;PALACIO RIESCO ; URMENETA;ED1C24;1
B23;REINA MARíA ; MAPOCHO;ED1C24;1
B24;HUAMACHUCO ; MAPOCHO;ED1C24;1
B25;(M) VESPUCIO NORTE ; (M) CERRO BLANCO;ED1C24;1
B26;EL CORTIJO ; (M) ESTACION CENTRAL;ED1C24;1
B27;(M) VESPUCIO NORTE ; (M) SALVADOR;ED1C24;1
B28;HUAMACHUCO ; (M) QUINTA NORMAL;ED1C24;1
B29;RENCA ; (M) SANTA ANA;ED1C24;1
B30N;RENCA ; CENTRO;ED1C24;1
B31N;ALAMEDA ; QUILICURA;ED1C24;1
C01;(M) FRANCISCO BILBAO ; CERRO 18;ED1C24;1
C01c;(M) ESCUELA MILITAR ; LA ERMITA ;ED1C24;1
C02;SAN CARLOS DE APOQUINDO ; (M) ESCUELA MILITAR;ED1C24;1
C02c;SAN CARLOS DE APOQUINDO ; (M) LOS DOMINICOS;ED1C24;1
C03;ROTONDA PEREZ ZUKJOVIC ; VITAL APOQUINDO;ED1C24;1
C03c;LO GALLO ; VITAL APOQUINDO;ED1C24;1
C04;VITAL APOQUINDO ; (M) MANUEL MONTT;ED1C24;1
C05;LA ERMITA ; (M) FRANCISCO BILBAO;ED1C24;1
C06;VITAL APOQUINDO ; (M) TOBALABA;ED1C24;1
C07;LA PIRAMIDE ; (M) FRANCISCO BILBAO;ED1C24;1
C08;CAMINO REAL ; CANTAGALLO;ED1C24;1
C09;LA DEHESA ; NUEVA BILBAO;ED1C24;1
C10e;(M) TOBALABA ; CAMINO JUAN PABLO II;ED1C24;1
C11;(M) ESCUELA MILITAR ; TABANCURA;ED1C24;1
C12;CAMINO JUAN PABLO II ; CANTAGALLO;ED1C24;1
C13;CANTAGALLO ; LA LAGUNA;ED1C24;1
C14;(M) ESCUELA MILITAR ; LOS TRAPENSES;ED1C24;1
C15;(M) ESCUELA MILITAR ; ESTORIL;ED1C24;1
C16;VITAL APOQUINDO ; EL HUINGANAL;ED1C24;1
C17;CERRO 18 ; LOS TRAPENSES;ED1C24;1
C18;(M) ESCUELA MILITAR ; CIUDAD EMPRESARIAL;ED1C24;1
C19;BERNARDO LARRAIN COTAPOS ; CANTAGALLO;ED1C24;1
C20;(M) ESCUELA MILITAR ; PARQUE ARAUCO;ED1C24;1
C21N;EL GABINO ; CANTAGALLO;ED1C24;1
C22;(M) ESCUELA MILITAR ; ROTONDA LO CURRO;ED1C24;1
C23;LA ERMITA DE SAN ANTONIO  ; LO BARNECHEA;ED1C24;1
D01;PLAZA EGAñA (M) ; CONSISTORIAL;F58220;1
D02;(M) IRARRAZAVAL ; DIAGONAL LAS TORRES;F58220;1
D03;(M) TOESCA ; LAS PARCELAS;F58220;1
D05;(M) FRANKLIN ; LAS PERDICES;F58220;1
D06;(M) IRARRAZAVAL ; (M) BELLAVISTA DE LA FLORIDA;F58220;1
D07;DIAGONAL LAS TORRES ; (M) FRANKLIN;F58220;1
D07c;DIAGONAL LAS TORRES ; (M) LOS PRESIDENTES;F58220;1
D08;AV. GRECIA ; (M) FRANCISCO BILBAO;F58220;1
D08c;PLAZA LA REINA ; (M) FRANCISCO BILBAO;F58220;1
D09;DIAGONAL LAS TORRES ; (M) MANUEL MONTT;F58220;1
D10;(M) CARLOS VALDOVINOS ; ALVARO CASANOVA;F58220;1
D11;DIAGONAL LAS TORRES ; MALL ALTO LAS CONDES;F58220;1
D12;LAS PERDICES ; (M) FRANCISCO BILBAO;F58220;1
D13;(M) BELLAVISTA DE LA FLORIDA ; (M) IRARRAZAVAL;F58220;1
D14;(M) PEDRERO ; (M) QUILIN;F58220;1
D15;DIAGONAL LAS TORRES ; (M) FRANCISCO BILBAO;F58220;1
D16;(M) QUILIN ; (M) FRANCISCO BILBAO;F58220;1
D17;ALTO MACUL ; (M) QUILIN;F58220;1
D18;DIAGONAL LAS TORRES ; (M) SANTA ISABEL;F58220;1
D20;DIAGONAL LAS TORRES ; AV. LAS TORRES;F58220;1
E01;SAN JOSE DE LA ESTRELLA ; (M) SANTA ROSA;00B33C;1
E02;(M) LO OVALLE ; DIEGO PORTALES;00B33C;1
E03;(M) LO OVALLE  ; JARDIN ALTO;00B33C;1
E04;AV. LA FLORIDA ; (M) FRANKLIN;00B33C;1
E05;(M) LA CISTERNA  ; (M) BELLAVISTA DE LA FLORIDA;00B33C;1
E06;(M) BELLAVISTA DE LA FLORIDA  ; MARIA ANGELICA;00B33C;1
E07;(M) BELLAVISTA DE LA FLORIDA  ; ROJAS MAGALLANES;00B33C;1
E08;DIEGO PORTALES ; (M) BELLAVISTA DE LA FLORIDA;00B33C;1
E09;(M) ELISA CORREA ; (M) SANTA ROSA;00B33C;1
E10;EL HUALLE ; SANTA ROSA P21;00B33C;1
E11;DIEGO PORTALES ; (M) SANTA ROSA;00B33C;1
E12;SANTA ROSA P18 ; MARIA ELENA;00B33C;1
E13;GABRIELA ; (M) BELLAVISTA DE LA FLORIDA;00B33C;1
E14;SAN JOSE DE LA ESTRELLA ; (M) BELLAVISTA DE LA FLORIDA;00B33C;1
E15;GABRIELA ; FROILAN LAGOS;00B33C;1
E15c;GABRIELA ; (M) BELLAVISTA DE LA FLORIDA;00B33C;1
E16;GABRIELA ; (M) SANTA ROSA;00B33C;1
E17;(M) BELLAVISTA DE LA FLORIDA ; LAS PERDICES;00B33C;1
