stop_code;stop_name;stop_lat;stop_lon
PI24;PI24 - Tongoy / El Mirador;-33.5052053;-70.71585214
PI25;PI25 - Don Orione / El Mirador;-33.50487918;-70.717835
PI1643;PI1643 - Pablo Suárez / El Mirador;-33.50442534;-70.72055
PI1642;PI1642 - Los Fundadores / El Mirador;-33.50386099;-70.72398288
PI1641;PI1641 - Santa Teresita / El Mirador;-33.50320303;-70.725901
PI1635;PI1635 - Divino Maestro / El Mirador;-33.50222697;-70.729277
PI1640;PI1640 - Ganímedes / El Mirador;-33.50208291;-70.731849
PI695;PI695 - Av. Vespucio / Av. Las Torres;-33.50373985;-70.735283
PI1242;PI1242 - Acapulco / Av. Las Torres;-33.50604095;-70.73565256
PI1243;PI1243 - La Primavera / Av. Las Torres;-33.50822785;-70.735167
PI883;PI883 - Acapulco / Av. Las Torres;-33.50695386;-70.734866
PI884;PI884 - Av. Vespucio / Av. Las Torres;-33.50445686;-70.734999
PI1646;PI1646 - El Mirador / Av. Las Torres;-33.50214188;-70.733991
PI1644;PI1644 - Comas Sola / El Mirador;-33.50215992;-70.731989
PI1636;PI1636 - Divino Maestro / El Mirador;-33.50231596;-70.729291
PI889;PI889 - Santa Teresita / El Mirador;-33.50317002;-70.726166
PI890;PI890 - Los Telares / El Mirador;-33.50411608;-70.722988
PI891;PI891 - Pablo Suárez / El Mirador;-33.50444311;-70.720984
PI892;PI892 - Don Orione / El Mirador;-33.50490317;-70.718166
PI26;PI26 - Dr. Vargas Salcedo / Don Orione;-33.50334206;-70.71758055
PI27;PI27 - Julio Verne / Don Orione;-33.50156719;-70.717106
PI28;PI28 - Av. Lo Errázuriz / Don Orione;-33.49883084;-70.71635895
PI29;PI29 - San Juan / Av. Lo Errázuriz;-33.49762718;-70.718028
PI30;PI30 - Arturo Prat / Av. Lo Errázuriz;-33.49596912;-70.721105
PI31;PI31 - Divina Comedia / Av. Lo Errázuriz;-33.4941011;-70.722326
PI32;PI32 - Av. Los Cerrillos / Av. Lo Errázuriz;-33.49185409;-70.722312
PI33;PI33 - Rosa Ester / Av. Lo Errázuriz;-33.48922608;-70.723402
PI1441;PI1441 - Los Presidentes / Av. Lo Errázuriz;-33.48750606;-70.724055
PI34;PI34 - Parque Lo Errázuriz;-33.48565805;-70.724553
PI1419;PI1419 - Costanera Norte / Av. Lo Errázuriz;-33.48110406;-70.724049
PI35;PI35 - R. Silva Henríquez / Av. Lo Errázuriz;-33.47834013;-70.72305164
PI36;PI36 - Los Metales / Av. Lo Errázuriz;-33.47711418;-70.72280556
PI37;PI37 - Santa Corina / Av. Lo Errázuriz;-33.4736511;-70.722098
PI38;PI38 - Parada 1 / Liceo A70;-33.47224414;-70.720151
PI39;PI39 - Quemchi / Av. 5 De Abril;-33.47109917;-70.718363
PI40;PI40 - Yelcho / Av. 5 De Abril;-33.47001621;-70.71653
PI41;PI41 - M. Rivas Vicuña / Av. 5 De Abril;-33.46853126;-70.713337
PI42;PI42 - Av. Aeropuerto / Av. 5 De Abril;-33.4675323;-70.711202
PI43;PI43 - Catalpas / Av. 5 De Abril;-33.46633034;-70.708885
PI44;PI44 - Parada 5 / 5 De Abril - Las Rejas;-33.46517653;-70.70612887
PI45;PI45 - Los Jazmines / Av. Las Rejas;-33.4619604;-70.705217
PI46;PI46 - Parada 1 / (M) Las Rejas;-33.45771144;-70.70548303
PI47;PI47 - Av. Las Rejas Sur Esq.  /  Embajador Quintana;-33.4522775;-70.70623281
PI48;PI48 - Av. Las Rejas Sur Esq.  /  Porto Seguto;-33.44970396;-70.70693631
PJ19;PJ19 - Nva. Imperial / Av. Las Rejas;-33.44671937;-70.707257
PJ20;PJ20 - Catedral / Av. Las Rejas;-33.44415169;-70.70729793
PJ21;PJ21 - Parada 4 / (M) Blanqueado;-33.44167437;-70.707251
PJ22;PJ22 - Manso De Velasco / Sergio Valdovinos;-33.43871347;-70.70705379
PJ23;PJ23 - Vicuña Rozas / Sergio Valdovinos;-33.43639937;-70.70706
PJ24;PJ24 - Parada 3 / Las Rejas - J.J. Pérez;-33.43338939;-70.70710702
PJ25;PJ25 - Cónsul Poinsett / Sergio Valdovinos;-33.42942438;-70.706629
PJ26;PJ26 - Padre Tadeo / Radal;-33.42764243;-70.703752
PJ27;PJ27 - Salvador Gutiérrez / Radal;-33.42493121;-70.70295
PJ28;PJ28 - Parada 4 / Escuela Lo Franco;-33.42099447;-70.701822
PJ29;PJ29 - Óscar Chanks / Lo Espinoza;-33.41790944;-70.703661
PJ30;PJ30 - 20 De Enero / Lo Espinoza;-33.41510942;-70.704872
PJ31;PJ31 - Platón / Lo Espinoza;-33.41156039;-70.706421
PJ32;PJ32 - S. Izquierdo / Lo Espinoza;-33.40976437;-70.707218
PB25;PB25 - Parada 2 / Plaza Renca;-33.40486444;-70.703617
PB26;PB26 - Caupolicán / Av. Sen. Jaime Guzmán;-33.40289546;-70.702363
PB27;PB27 - Av. Apóstol Santiago / Av. Sen. Jaime Guzmán;-33.40078665;-70.69875061
PB28;PB28 - Los Juncos / Av. Sen. Jaime Guzmán;-33.4001906;-70.694793
PB29;PB29 - Camino Lo Ruiz / Av. Sen. Jaime Guzmán;-33.40250172;-70.687244
PB31;PB31 - Parada 3 / Norte Sur - Dorsal;-33.40318459;-70.68253965
PB32;PB32 - Barón Juras R. / 14 De La Fama;-33.40145054;-70.67689628
PB1586;PB1586 - Av. Vivaceta / 14 De La Fama;-33.39988009;-70.6725766
PB35;PB35 - Parada 3 / Dorsal - Independencia;-33.39828956;-70.66993276
